id,name,intervals,partner,retrograde_of,degenerate,reduces_to,berliner,row_forms,palindromic,literal_span_semitones,bounded_span_semitones
2-1,m2-m2,"1 1",2-1I,2-1I,true,m2,,2,true,12,11
2-1I,M7-M7,"11 11",2-1,2-1,true,M7,,2,true,132,11
2-2,m2-M6,"1 9",2-2I,2-2I,false,,2-1,4,true,60,11
2-2I,m3-M7,"3 11",2-2,2-2,false,,2-1,4,true,84,11
2-3,m3-P5,"3 7",2-3I,2-3I,false,,2-2,4,true,60,11
2-3I,P4-M6,"5 9",2-3,2-3,false,,2-2,4,true,84,11
2-4,P4-P4,"5 5",2-4I,2-4I,true,P4,,2,true,60,11
2-4I,P5-P5,"7 7",2-4,2-4,true,P5,,2,true,84,11
3-1,m2-m2-m2,"1 1 1",3-1I,3-1I,true,m2,,2,true,12,11
3-1I,M7-M7-M7,"11 11 11",3-1,3-1,true,M7,,2,true,132,11
3-2,m2-m2-P5,"1 1 7",3-2I,3-2I,false,,3-1,6,true,36,11
3-2I,P4-M7-M7,"5 11 11",3-2,3-2,false,,3-1,6,true,108,11
3-3,m2-M3-M3,"1 4 4",3-3I,3-3I,false,,3-2,6,true,36,11
3-3I,m6-m6-M7,"8 8 11",3-3,3-3,false,,3-2,6,true,108,11
3-4,m2-M3-m7,"1 4 10",3-4I,3-6I,false,,3-3,12,false,60,11
3-4I,M2-M7-m6,"2 11 8",3-4,3-6,false,,3-3,12,false,84,11
3-5,m2-P5-P5,"1 7 7",3-5I,3-5I,false,,3-4,6,true,60,11
3-5I,P4-P4-M7,"5 5 11",3-5,3-5,false,,3-4,6,true,84,11
3-6,m2-m7-M3,"1 10 4",3-6I,3-4I,false,,3-3,12,false,60,11
3-6I,M2-m6-M7,"2 8 11",3-6,3-4,false,,3-3,12,false,84,11
3-7,m2-m7-m7,"1 10 10",3-7I,3-7I,false,,3-5,6,true,84,11
3-7I,M2-M2-M7,"2 2 11",3-7,3-7,false,,3-5,6,true,60,11
3-8,M2-M2-P4,"2 2 5",3-8I,3-8I,false,,3-6,6,true,36,11
3-8I,P5-m7-m7,"7 10 10",3-8,3-8,false,,3-6,6,true,108,11
3-9,M2-P4-m6,"2 5 8",3-9I,3-10I,false,,3-7,12,false,60,11
3-9I,M3-m7-P5,"4 10 7",3-9,3-10,false,,3-7,12,false,84,11
3-10,M2-m6-P4,"2 8 5",3-10I,3-9I,false,,3-7,12,false,60,11
3-10I,M3-P5-m7,"4 7 10",3-10,3-9,false,,3-7,12,false,84,11
3-11,M3-M3-P5,"4 4 7",3-11I,3-11I,false,,3-8,6,true,60,11
3-11I,P4-m6-m6,"5 8 8",3-11,3-11,false,,3-8,6,true,84,11
3-12,P4-P4-P4,"5 5 5",3-12I,3-12I,true,P4,,2,true,60,11
3-12I,P5-P5-P5,"7 7 7",3-12,3-12,true,P5,,2,true,84,11
4-1,m2-m2-m2-m2,"1 1 1 1",4-1I,4-1I,true,m2,,2,true,12,11
4-1I,M7-M7-M7-M7,"11 11 11 11",4-1,4-1,true,M7,,2,true,132,11
4-2,m2-m2-m2-P4,"1 1 1 5",4-2I,4-2I,false,,4-1,8,true,24,11
4-2I,P5-M7-M7-M7,"7 11 11 11",4-2,4-2,false,,4-1,8,true,120,11
4-3,m2-m2-P4-M6,"1 1 5 9",4-3I,4-4I,false,,4-2,16,false,48,11
4-3I,m3-M7-M7-P5,"3 11 11 7",4-3,4-4,false,,4-2,16,false,96,11
4-4,m2-m2-M6-P4,"1 1 9 5",4-4I,4-3I,false,,4-2,16,false,48,11
4-4I,m3-P5-M7-M7,"3 7 11 11",4-4,4-3,false,,4-2,16,false,96,11
4-5,m2-m2-M6-M6,"1 1 9 9",4-5I,4-5I,false,,4-3,8,true,60,11
4-5I,m3-m3-M7-M7,"3 3 11 11",4-5,4-5,false,,4-3,8,true,84,11
4-6,m2-M2-m3-M2,"1 2 3 2",4-6I,4-6I,false,,4-4,8,true,24,11
4-6I,M6-m7-M7-m7,"9 10 11 10",4-6,4-6,false,,4-4,8,true,120,11
4-7,m2-M2-m3-m7,"1 2 3 10",4-7I,4-24I,false,,4-5,16,false,48,11
4-7I,M2-M7-m7-M6,"2 11 10 9",4-7,4-24,false,,4-5,16,false,96,11
4-8,m2-M2-P5-A4,"1 2 7 6",4-8I,4-18I,false,,4-6,16,false,48,11
4-8I,P4-A4-M7-m7,"5 6 11 10",4-8,4-18,false,,4-6,16,false,96,11
4-9,m2-M2-P5-m7,"1 2 7 10",4-9I,4-26I,false,,4-7,16,false,60,11
4-9I,M2-M7-m7-P4,"2 11 10 5",4-9,4-26,false,,4-7,16,false,84,11
4-10,m2-M2-M7-M2,"1 2 11 2",4-10I,4-10I,false,,4-8,8,true,48,11
4-10I,m2-m7-M7-m7,"1 10 11 10",4-10,4-10,false,,4-8,8,true,96,11
4-11,m2-M2-M7-A4,"1 2 11 6",4-11I,4-20I,false,,4-9,16,false,60,11
4-11I,m2-A4-M7-m7,"1 6 11 10",4-11,4-20,false,,4-9,16,false,84,11
4-12,m2-P4-m2-M6,"1 5 1 9",4-12I,4-12I,false,,4-10,8,true,48,11
4-12I,m3-M7-P5-M7,"3 11 7 11",4-12,4-12,false,,4-10,8,true,96,11
4-13,m2-P4-P4-P4,"1 5 5 5",4-13I,4-13I,false,,4-11,8,true,48,11
4-13I,P5-P5-P5-M7,"7 7 7 11",4-13,4-13,false,,4-11,8,true,96,11
4-14,m2-P4-P4-M6,"1 5 5 9",4-14I,4-22I,false,,4-12,16,false,60,11
4-14I,m3-M7-P5-P5,"3 11 7 7",4-14,4-22,false,,4-12,16,false,84,11
4-15,m2-P4-M6-P4,"1 5 9 5",4-15I,4-15I,false,,4-13,8,true,60,11
4-15I,m3-P5-M7-P5,"3 7 11 7",4-15,4-15,false,,4-13,8,true,84,11
4-16,m2-A4-m3-A4,"1 6 3 6",4-16I,4-16I,false,,4-14,8,true,48,11
4-16I,A4-M6-A4-M7,"6 9 6 11",4-16,4-16,false,,4-14,8,true,96,11
4-17,m2-A4-m3-m7,"1 6 3 10",4-17I,4-25I,false,,4-15,16,false,60,11
4-17I,M2-M7-A4-M6,"2 11 6 9",4-17,4-25,false,,4-15,16,false,84,11
4-18,m2-A4-P5-M2,"1 6 7 2",4-18I,4-8I,false,,4-6,16,false,48,11
4-18I,P4-m7-M7-A4,"5 10 11 6",4-18,4-8,false,,4-6,16,false,96,11
4-19,m2-A4-P5-A4,"1 6 7 6",4-19I,4-19I,false,,4-16,8,true,60,11
4-19I,P4-A4-M7-A4,"5 6 11 6",4-19,4-19,false,,4-16,8,true,84,11
4-20,m2-A4-M7-M2,"1 6 11 2",4-20I,4-11I,false,,4-9,16,false,60,11
4-20I,m2-m7-M7-A4,"1 10 11 6",4-20,4-11,false,,4-9,16,false,84,11
4-21,m2-M6-m2-M6,"1 9 1 9",4-21I,4-21I,true,m2-M6,,4,true,60,11
4-21I,m3-M7-m3-M7,"3 11 3 11",4-21,4-21,true,m3-M7,,4,true,84,11
4-22,m2-M6-P4-P4,"1 9 5 5",4-22I,4-14I,false,,4-12,16,false,60,11
4-22I,m3-P5-P5-M7,"3 7 7 11",4-22,4-14,false,,4-12,16,false,84,11
4-23,m2-M6-M6-M6,"1 9 9 9",4-23I,4-23I,false,,4-17,8,true,84,11
4-23I,m3-m3-m3-M7,"3 3 3 11",4-23,4-23,false,,4-17,8,true,60,11
4-24,m2-m7-m3-M2,"1 10 3 2",4-24I,4-7I,false,,4-5,16,false,48,11
4-24I,M2-M6-m7-M7,"2 9 10 11",4-24,4-7,false,,4-5,16,false,96,11
4-25,m2-m7-m3-A4,"1 10 3 6",4-25I,4-17I,false,,4-15,16,false,60,11
4-25I,M2-M6-A4-M7,"2 9 6 11",4-25,4-17,false,,4-15,16,false,84,11
4-26,m2-m7-P5-M2,"1 10 7 2",4-26I,4-9I,false,,4-7,16,false,60,11
4-26I,M2-P4-m7-M7,"2 5 10 11",4-26,4-9,false,,4-7,16,false,84,11
